created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2020-02-15 17:30:46 CST,1,0,0,"0

",,,,
2020-02-15 17:31:02 CST,2,0,0,"0

",,,,
2020-02-15 17:31:18 CST,3,0,0,"0

",,,,
2020-02-15 17:31:34 CST,4,0,0,"0

",,,,
2020-02-15 17:31:50 CST,5,0,0,"0

",,,,
2020-02-15 17:32:06 CST,6,0,0,"0

",,,,
2020-02-15 17:32:22 CST,7,0,0,"0

",,,,
2020-02-15 17:32:38 CST,8,0,0,"0

",,,,
2020-02-15 17:32:54 CST,9,0,0,"0

",,,,
2020-02-15 17:33:09 CST,10,0,0,"0

",,,,
2020-02-15 17:33:25 CST,11,0,0,"0

",,,,
2020-02-15 17:33:41 CST,12,0,0,"0

",,,,
2020-02-15 17:33:57 CST,13,0,0,"0

",,,,
2020-02-15 17:34:13 CST,14,0,0,"0

",,,,
2020-02-15 17:34:29 CST,15,0,0,"0

",,,,
2020-02-15 17:34:45 CST,16,0,0,"0

",,,,
2020-02-15 17:35:01 CST,17,0,0,"0

",,,,
2020-02-15 17:35:16 CST,18,0,0,"0

",,,,
2020-02-15 17:35:32 CST,19,0,0,"0

",,,,
2020-02-15 17:35:48 CST,20,0,0,"0

",,,,
2020-02-15 17:36:04 CST,21,0,0,"0

",,,,
2020-02-15 17:36:20 CST,22,0,0,"0

",,,,
2020-02-15 17:36:36 CST,23,0,0,"0

",,,,
2020-02-15 17:36:52 CST,24,0,0,"0

",,,,
2020-02-15 17:37:08 CST,25,0,0,"0

",,,,
2020-02-15 17:37:24 CST,26,0,0,"0

",,,,
2020-02-15 17:37:40 CST,27,0,0,"0

",,,,
2020-02-15 17:37:56 CST,28,0,0,"0

",,,,
2020-02-15 17:38:12 CST,29,0,0,"0

",,,,
2020-02-15 17:38:27 CST,30,0,0,"0

",,,,
2020-02-15 17:38:43 CST,31,0,0,"0

",,,,
2020-02-15 17:38:59 CST,32,0,0,"0

",,,,
2020-02-15 17:39:15 CST,33,0,0,"0

",,,,
2020-02-16 10:59:08 CST,34,0,0,"0

",,,,
2020-02-16 10:59:27 CST,35,0,0,"0

",,,,
2020-02-16 10:59:45 CST,36,0,0,"0

",,,,
2020-02-16 11:00:01 CST,37,0,0,"0

",,,,
2020-02-16 11:00:17 CST,38,0,0,"0

",,,,
2020-02-16 11:00:33 CST,39,0,0,"0

",,,,
2020-02-16 11:01:16 CST,40,0,0,"0

",,,,
2020-02-16 11:01:32 CST,41,0,0,"0

",,,,
2020-02-16 11:01:48 CST,42,0,0,"0

",,,,
2020-02-16 11:02:04 CST,43,0,0,"0

",,,,
2020-02-16 11:02:20 CST,44,0,0,"0

",,,,
2020-02-16 11:02:35 CST,45,0,0,"0

",,,,
2020-02-16 11:02:51 CST,46,0,0,"0

",,,,
2020-02-16 11:03:07 CST,47,0,0,"0

",,,,
2020-02-16 11:03:23 CST,48,0,0,"0

",,,,
2020-02-16 11:03:39 CST,49,0,0,"0

",,,,
2020-02-16 11:03:55 CST,50,0,0,"0

",,,,
2020-02-16 11:04:11 CST,51,0,0,"0

",,,,
2020-02-16 11:04:27 CST,52,0,0,"0

",,,,
2020-02-16 11:04:43 CST,53,0,0,"0

",,,,
2020-02-16 11:04:59 CST,54,0,0,"0

",,,,
2020-02-16 11:05:15 CST,55,0,0,"0

",,,,
2020-02-16 11:05:31 CST,56,0,0,"0

",,,,
2020-02-16 11:05:47 CST,57,0,0,"0

",,,,
2020-02-16 11:06:02 CST,58,0,0,"0

",,,,
2020-02-16 11:06:19 CST,59,0,0,"0

",,,,
2020-02-16 11:06:34 CST,60,0,0,"0

",,,,
2020-02-16 11:06:50 CST,61,0,0,"0

",,,,
2020-02-16 11:07:06 CST,62,0,0,"0

",,,,
2020-02-16 11:07:22 CST,63,0,0,"0

",,,,
2020-02-16 11:07:38 CST,64,0,0,"0

",,,,
2020-02-16 11:07:54 CST,65,0,0,"0

",,,,
2020-02-16 11:08:10 CST,66,0,0,"0

",,,,
2020-02-16 11:08:26 CST,67,0,0,"0

",,,,
2020-02-16 11:08:42 CST,68,0,0,"0

",,,,
2020-02-16 11:08:58 CST,69,0,0,"0

",,,,
2020-02-16 11:09:14 CST,70,0,0,"0

",,,,
2020-02-16 11:09:29 CST,71,0,0,"0

",,,,
2020-02-16 11:09:45 CST,72,0,0,"0

",,,,
2020-02-16 11:10:01 CST,73,0,0,"0

",,,,
2020-02-16 11:10:17 CST,74,0,0,"0

",,,,
2020-02-16 11:10:33 CST,75,0,0,"0

",,,,
2020-02-16 11:10:49 CST,76,0,0,"0

",,,,
2020-02-16 11:11:05 CST,77,0,0,"0

",,,,
2020-02-16 11:11:21 CST,78,0,0,"0

",,,,
2020-02-16 11:11:37 CST,79,0,0,"0

",,,,
2020-02-16 11:11:53 CST,80,0,0,"0

",,,,
2020-02-16 11:12:09 CST,81,0,0,"0

",,,,
2020-02-16 11:12:25 CST,82,0,0,"0

",,,,
2020-02-16 11:12:41 CST,83,0,0,"0

",,,,
2020-02-16 11:12:57 CST,84,0,0,"0

",,,,
2020-02-16 11:13:12 CST,85,0,0,"0

",,,,
2020-02-16 11:13:28 CST,86,0,0,"0

",,,,
2020-02-16 11:13:44 CST,87,0,0,"0

",,,,
2020-02-16 11:14:00 CST,88,0,0,"0

",,,,
2020-02-16 11:14:16 CST,89,0,0,"0

",,,,
2020-02-16 11:14:32 CST,90,0,0,"0

",,,,
2020-02-16 11:14:48 CST,91,0,0,"0

",,,,
2020-02-16 11:15:04 CST,92,0,0,"0

",,,,
2020-02-16 11:15:20 CST,93,0,0,"0

",,,,
2020-02-16 11:15:36 CST,94,0,0,"0

",,,,
2020-02-16 11:15:52 CST,95,0,0,"0

",,,,
2020-02-16 11:16:08 CST,96,0,0,"0

",,,,
2020-02-16 11:16:24 CST,97,0,0,"0

",,,,
2020-02-16 11:16:40 CST,98,0,0,"0

",,,,
2020-02-16 11:16:55 CST,99,0,0,"0

",,,,
2020-02-16 11:17:11 CST,100,0,0,"0

",,,,
2020-02-16 11:17:27 CST,101,0,0,"0

",,,,
2020-02-16 11:17:43 CST,102,0,0,"0

",,,,
2020-02-16 11:17:59 CST,103,0,0,"0

",,,,
2020-02-16 11:18:15 CST,104,0,0,"0

",,,,
2020-02-16 11:18:31 CST,105,0,0,"0

",,,,
2020-02-16 11:18:47 CST,106,0,0,"0

",,,,
2020-02-16 11:19:03 CST,107,0,0,"0

",,,,
2020-02-16 11:19:19 CST,108,0,0,"0

",,,,
2020-02-16 11:19:35 CST,109,0,0,"0

",,,,
2020-02-16 11:19:50 CST,110,0,0,"0

",,,,
2020-02-16 11:20:06 CST,111,0,0,"0

",,,,
2020-02-16 11:20:22 CST,112,0,0,"0

",,,,
2020-02-16 11:20:38 CST,113,0,0,"0

",,,,
2020-02-16 11:20:54 CST,114,0,0,"0

",,,,
2020-02-16 11:21:09 CST,115,0,0,"0

",,,,
2020-02-16 11:21:25 CST,116,0,0,"0

",,,,
2020-02-16 11:21:41 CST,117,0,0,"0

",,,,
2020-02-16 11:21:57 CST,118,0,0,"0

",,,,
2020-02-16 11:22:13 CST,119,0,0,"0

",,,,
2020-02-16 11:22:29 CST,120,0,0,"0

",,,,
2020-02-16 11:22:45 CST,121,0,0,"0

",,,,
2020-02-16 11:23:01 CST,122,0,0,"0

",,,,
2020-02-16 11:23:17 CST,123,0,0,"0

",,,,
2020-02-16 11:23:32 CST,124,0,0,"0

",,,,
2020-02-16 11:27:47 CST,125,0,0,"0

",,,,
2020-02-16 11:28:04 CST,126,0,0,"0

",,,,
2020-02-16 11:32:57 CST,127,0,0,"0

",,,,
2020-02-16 11:33:13 CST,128,0,0,"0

",,,,
2020-02-16 11:33:29 CST,129,0,0,"0

",,,,
2020-02-16 11:33:45 CST,130,0,0,"0

",,,,
2020-02-16 11:39:13 CST,131,0,0,"0

",,,,
2020-02-16 11:39:30 CST,132,0,0,"0

",,,,
2020-02-16 11:39:45 CST,133,0,0,"0

",,,,
2020-02-16 11:40:01 CST,134,0,0,"0

",,,,
2020-02-16 11:40:16 CST,135,0,0,"0

",,,,
2020-02-16 11:40:32 CST,136,0,0,"0

",,,,
2020-02-16 11:40:47 CST,137,0,0,"0

",,,,
2020-02-16 11:41:03 CST,138,0,0,"0

",,,,
2020-02-16 11:41:19 CST,139,1,1,"1

",,,,
2020-02-16 11:41:35 CST,140,13,30,"35

",,,,
2020-02-16 11:41:51 CST,141,1,4,"4

",,,,
2020-02-16 11:42:07 CST,142,0,2,"2

",,,,
2020-02-16 11:42:22 CST,143,0,0,"0

",,,,
2020-02-16 11:42:38 CST,144,0,0,"0

",,,,
2020-02-16 11:42:53 CST,145,0,0,"0

",,,,
2020-02-16 11:43:11 CST,146,0,0,"0

",,,,
2020-02-16 11:43:26 CST,147,0,0,"0

",,,,
2020-02-16 11:43:42 CST,148,0,0,"0

",,,,
2020-02-16 11:43:57 CST,149,0,0,"0

",,,,
2020-02-16 11:44:13 CST,150,0,0,"0

",,,,
2020-02-16 11:44:28 CST,151,0,0,"0

",,,,
2020-02-16 11:44:44 CST,152,0,0,"0

",,,,
2020-02-16 11:45:00 CST,153,0,1,"1

",,,,
2020-02-16 11:45:15 CST,154,0,0,"0

",,,,
2020-02-16 11:45:31 CST,155,0,0,"0

",,,,
